RECTIME,RANGVX,RANGX
0.01,0.0611,0
0.02,0.2442,0
0.03,0.3662,0.0055
0.04,0.2442,0.0165
0.05,0,0.022
0.06,-0.1831,0.022
0.07,-0.3662,0.022
0.08,-0.4272,0.0165
0.09,-0.3662,0.011
0.1,-0.3051,0.011
0.11,-0.2441,0.0055
0.12,-0.2441,0
0.13,-0.3662,-0.0055
0.14,-0.4883,-0.0109
0.15,-0.7324,-0.0164
0.16,-1.0376,-0.0219
0.17,-1.0986,-0.0329
0.18,-1.1596,-0.0494
0.19,-1.0376,-0.0659
0.2,-0.6714,-0.0824
0.21,-0.2441,-0.0933
0.22,0.2442,-0.0988
0.23,0.5493,-0.1043
0.24,0.7935,-0.1043
0.25,0.7935,-0.0988
0.26,0.6714,-0.0933
0.27,0.4273,-0.0879
0.28,0.3662,-0.0824
0.29,0.3052,-0.0769
0.3,0.4273,-0.0769
0.31,0.4883,-0.0714
0.32,0.6104,-0.0714
0.33,0.7325,-0.0659
0.34,0.6104,-0.0604
0.35,0.4883,-0.0549
0.36,0.4273,-0.0494
0.37,0.3662,-0.0439
0.38,0.3662,-0.0439
0.39,0.4273,-0.0384
0.4,0.5493,-0.0384
0.41,0.7325,-0.0329
0.42,0.8545,-0.0274
0.43,0.8545,-0.0219
0.44,0.7935,-0.0164
0.45,0.7325,-0.0055
0.46,0.7935,0
0.47,0.8545,0.011
0.48,1.0376,0.0165
0.49,1.3428,0.0275
0.5,1.5869,0.0385
0.51,1.5259,0.0495
0.52,1.3428,0.0605
0.53,1.0987,0.0715
0.54,0.9766,0.0769
0.55,1.0376,0.0824
0.56,1.1597,0.0879
0.57,1.2818,0.0934
0.58,1.3428,0.1044
0.59,1.4649,0.1154
0.6,1.3428,0.1264
0.61,1.3428,0.1374
0.62,1.3428,0.1538
0.63,1.4038,0.1648
0.64,1.5259,0.1758
0.65,1.709,0.1868
0.66,1.8311,0.2033
0.67,1.8311,0.2198
0.68,1.77,0.2308
0.69,1.5869,0.2472
0.7,1.2818,0.2637
0.71,1.0376,0.2692
0.72,0.8545,0.2802
0.73,0.6714,0.2912
0.74,0.6104,0.2967
0.75,0.6714,0.3077
0.76,0.6104,0.3132
0.77,0.6104,0.3241
0.78,0.5493,0.3296
0.79,0.4883,0.3351
0.8,0.3662,0.3406
0.81,0.3052,0.3461
0.82,0.1831,0.3516
0.83,0,0.3571
0.84,-0.1831,0.3571
0.85,-0.4272,0.3516
0.86,-0.6103,0.3516
0.87,-0.7934,0.3461
0.88,-0.7934,0.3351
0.89,-0.7324,0.3296
0.9,-0.6103,0.3186
0.91,-0.5493,0.3132
0.92,-0.7934,0.3077
0.93,-0.8545,0.3022
0.94,-0.9155,0.2967
0.95,-0.9765,0.2912
0.96,-0.9765,0.2802
0.97,-0.8545,0.2692
0.98,-0.7934,0.2582
0.99,-0.7934,0.2582
1,-0.8545,0.2472
1.01,-0.9155,0.2417
1.02,-0.9155,0.2362
1.03,-0.8545,0.2253
1.04,-0.6714,0.2198
1.05,-0.3662,0.2088
1.06,-0.1831,0.2088
1.07,0,0.2033
1.08,0.1831,0.2088
1.09,0.3052,0.2088
1.1,0.2442,0.2143
1.11,0.3052,0.2143
1.12,0.3662,0.2143
1.13,0.3662,0.2143
1.14,0.3662,0.2198
1.15,0.3052,0.2198
1.16,0.1831,0.2198
1.17,0.0611,0.2198
1.18,0,0.2198
1.19,-0.122,0.2143
1.2,-0.2441,0.2088
1.21,-0.3662,0.2033
1.22,-0.4883,0.1923
1.23,-0.7324,0.1868
1.24,-0.8545,0.1813
1.25,-0.9155,0.1758
1.26,-0.9765,0.1703
1.27,-1.0986,0.1593
1.28,-1.1596,0.1538
1.29,-1.0986,0.1484
1.3,-1.0376,0.1429
1.31,-0.9155,0.1374
1.32,-0.6714,0.1374
1.33,-0.3662,0.1374
1.34,0,0.1374
1.35,0.3662,0.1429
1.36,0.5493,0.1538
1.37,0.4883,0.1648
1.38,0.1831,0.1703
1.39,-0.122,0.1758
1.4,-0.3051,0.1758
1.41,-0.3662,0.1703
1.42,-0.3051,0.1648
1.43,-0.2441,0.1593
1.44,-0.2441,0.1538
1.45,-0.2441,0.1484
1.46,-0.1831,0.1429
1.47,-0.061,0.1429
1.48,0.0611,0.1429
